transcript,gene
ENST00000519293,MTDH
ENST00000519302,CARD8
ENST00000519309,CTNNA1
ENST00000519312,CDKL3
ENST00000519328,DECR1
ENST00000519339,TNIP1
ENST00000519359,RBPMS
ENST00000519367,CHCHD7
ENST00000519374,ATP6V0E1
ENST00000519381,VPS37A
ENST00000519414,CHMP7
ENST00000519422,RUNX1T1
ENST00000519447,TCF7
ENST00000519464,ZFAND1
ENST00000519465,PTK2
ENST00000519474,HDAC3
ENST00000519503,CHMP7
ENST00000519505,ESRP1
ENST00000519509,CCDC25
ENST00000519534,CHTF8
ENST00000519536,ZFHX4
ENST00000519539,RASA4
ENST00000519541,RP11-514P8.6
ENST00000519556,MTBP
ENST00000519565,RNF217
ENST00000519577,RUNX1T1
ENST00000519588,ATP6V1H
ENST00000519607,NUDCD1
ENST00000519622,PABPC1
ENST00000519632,SHPRH
ENST00000519644,ANXA6
ENST00000519646,CARD8
ENST00000519661,SPIDR
ENST00000519665,KCTD9
ENST00000519686,VNN3
ENST00000519693,FBXW11
ENST00000519696,FABP12
ENST00000519698,DNPEP
ENST00000519701,CSPP1
ENST00000519704,TCEA1
ENST00000519712,NSMCE2
ENST00000519721,FAM91A1
ENST00000519725,RGS22
ENST00000519733,IKBKB
ENST00000519743,BHMT2
ENST00000519745,ACSM1
ENST00000519771,POLB
ENST00000519773,LPL
ENST00000519776,TATDN1
ENST00000519783,GTF2H2
ENST00000519796,ERGIC1
ENST00000519807,RPS20
ENST00000519810,OSGEPL1
ENST00000519816,IMPA1
ENST00000519827,ZFAT
ENST00000519830,DCTN6
ENST00000519882,ZNF706
ENST00000519889,CCNE2
ENST00000519899,PTK2
ENST00000519917,FBXL8
ENST00000519937,SFTPB
ENST00000519945,FBXL8
ENST00000519947,JPH1
ENST00000519949,RANBP17
ENST00000519954,CNOT7
ENST00000519958,HNRNPH1
ENST00000519973,SLC25A37
ENST00000519977,TOP1MT
ENST00000519993,PTK2
ENST00000519994,C14orf159
ENST00000519997,STMN4
ENST00000520001,ADAM18
ENST00000520013,RARS
ENST00000520015,CARD8
ENST00000520051,ASAH1
ENST00000520061,TMEM68
ENST00000520073,PROSC
ENST00000520077,BNIP3L
ENST00000520086,HTR4
ENST00000520087,ADAM18
ENST00000520092,XKR9
ENST00000520095,HARS2
ENST00000520099,LRRC69
ENST00000520127,CA2
ENST00000520140,VPS37A
ENST00000520147,ENY2
ENST00000520148,DECR1
ENST00000520151,PTK2
ENST00000520166,TSNARE1
ENST00000520176,DDHD2
ENST00000520177,G3BP1
ENST00000520193,ADAMDEC1
ENST00000520196,MTUS1
ENST00000520201,IKBKB
ENST00000520202,CCDC25
ENST00000520209,RASGEF1C
ENST00000520213,SNAP91
ENST00000520215,IL7
ENST00000520217,THEM6
ENST00000520222,CHCHD10
ENST00000520238,MOK
ENST00000520253,C1orf127
ENST00000520271,COX6C
ENST00000520272,DDHD2
ENST00000520299,ANK1
ENST00000520302,SNAP91
ENST00000520303,SARAF
ENST00000520315,INTS8
ENST00000520317,IL7
ENST00000520320,IKBKB
ENST00000520321,TATDN1
ENST00000520329,PPP2R2A
ENST00000520347,ZNF706
ENST00000520354,GINS4
ENST00000520371,CCNC
ENST00000520376,FBXW11
ENST00000520382,ATOX1
ENST00000520389,ITGB2
ENST00000520392,IMPAD1
ENST00000520401,CTC-554D6.1
ENST00000520429,CCNC
ENST00000520437,INTS9
ENST00000520448,ADAM28
ENST00000520449,MAT2B
ENST00000520468,COX6C
ENST00000520484,ENDOV
ENST00000520485,ARFGAP1
ENST00000520486,CCDC25
ENST00000520495,MTCL1
ENST00000520497,VAPB
ENST00000520498,ZNF706
ENST00000520517,COX6C
ENST00000520528,HSF4
ENST00000520549,IRGM
ENST00000520557,DHDH
ENST00000520579,PDGFRB
ENST00000520581,FAXDC2
ENST00000520584,ZFP41
ENST00000520592,CDKL3
ENST00000520595,UBE2V2
ENST00000520601,BRF2
ENST00000520610,CEP57L1
ENST00000520626,BMP1
ENST00000520632,NDUFAF6
ENST00000520642,ERGIC1
ENST00000520647,GALNT10
ENST00000520652,TCF7
ENST00000520655,IKBKB
ENST00000520677,MRPL13
ENST00000520684,ERI1
ENST00000520689,AP3M2
ENST00000520693,CDKL3
ENST00000520694,DNPEP
ENST00000520704,HGSNAT
ENST00000520709,TMEM55A
ENST00000520732,UBXN2B
ENST00000520739,LEPROTL1
ENST00000520753,CARD8
ENST00000520757,NDUFAF6
ENST00000520774,DPY19L4
ENST00000520801,CPED1
ENST00000520808,NPIPB4
ENST00000520817,GOLGA7
ENST00000520825,SNTG1
ENST00000520827,INTS10
ENST00000520830,ATP6V1B2
ENST00000520850,TNPO1
ENST00000520864,RANBP17
ENST00000520868,PABPC1
ENST00000520911,RNF130
ENST00000520918,MGAT4B
ENST00000520927,ASAP1
ENST00000520937,FAM92A1
ENST00000520938,TATDN1
ENST00000520952,CDH17
ENST00000520953,SREK1
ENST00000520958,TCF7
ENST00000520960,CYFIP2
ENST00000520970,BMP1
ENST00000520978,RUNX1T1
ENST00000520982,BMP1
ENST00000520984,ZNF706
ENST00000520987,FBXO43
ENST00000520995,C5orf45
ENST00000521006,SEMA4G
ENST00000521007,TAF2
ENST00000521008,INTS10
ENST00000521017,CCNC
ENST00000521027,PSD3
ENST00000521029,PTK2
ENST00000521032,MTO1
ENST00000521036,UQCRB
ENST00000521038,PHF20L1
ENST00000521042,PLAT
ENST00000521047,CLINT1
ENST00000521052,DMGDH
ENST00000521053,MROH5
ENST00000521065,TMEM67
ENST00000521071,UTP23
ENST00000521075,ASAP1
ENST00000521082,KLHL7
ENST00000521114,SFTA3
ENST00000521169,VWDE
ENST00000521170,BRF2
ENST00000521179,TVP23C
ENST00000521182,LY6E
ENST00000521195,FZD6
ENST00000521208,ADGRB1
ENST00000521222,TMEM67
ENST00000521228,CES5A
ENST00000521241,TPD52
ENST00000521247,MTFR1
ENST00000521250,PTK2
ENST00000521272,ZNF706
ENST00000521291,RPL30
ENST00000521299,C5orf45
ENST00000521314,HSF4
ENST00000521329,RARS
ENST00000521333,C5orf45
ENST00000521347,FAM131B
ENST00000521354,TPD52
ENST00000521357,INTS10
ENST00000521368,CTNNA1
ENST00000521385,BMP1
ENST00000521388,MOK
ENST00000521406,C8orf34
ENST00000521415,CARD8
ENST00000521419,STAU2
ENST00000521424,PWWP2A
ENST00000521439,NUDCD1
ENST00000521442,ATP6V1B2
ENST00000521448,DCTN4
ENST00000521458,KCTD9
ENST00000521459,DNPEP
ENST00000521461,KHDRBS3
ENST00000521485,SNAP91
ENST00000521493,MOK
ENST00000521516,HMBOX1
ENST00000521518,FAXDC2
ENST00000521524,CHCHD7
ENST00000521546,TATDN1
ENST00000521548,FBXO16
ENST00000521555,NPIPB5
ENST00000521577,LARP1
ENST00000521582,ST18
ENST00000521585,HMP19
ENST00000521593,CNBD1
ENST00000521603,DECR1
ENST00000521616,SNAP91
ENST00000521621,CLK4
ENST00000521624,HSF4
ENST00000521645,SLC25A32
ENST00000521648,MRPL13
ENST00000521649,STK3
ENST00000521650,GPX3
ENST00000521655,THG1L
ENST00000521659,ENO3
ENST00000521661,IKBKB
ENST00000521670,NRG1
ENST00000521676,TBC1D31
ENST00000521701,EFCAB1
ENST00000521703,UTP23
ENST00000521711,ADRA1A
ENST00000521713,USP42
ENST00000521722,GPX3
ENST00000521724,CTNNA1
ENST00000521729,CNOT8
ENST00000521735,HTR4
ENST00000521743,SNAP91
ENST00000521747,PHF14
ENST00000521751,RUNX1T1
ENST00000521766,MOK
ENST00000521791,PTK2
ENST00000521806,GPAT4
ENST00000521808,ASH2L
ENST00000521809,CCNE2
ENST00000521824,ST18
ENST00000521829,VPS37A
ENST00000521831,CHCHD7
ENST00000521844,ERI1
ENST00000521858,GTF2H2
ENST00000521880,ADAM2
ENST00000521897,RUNX1T1
ENST00000521952,MATN2
ENST00000521962,HACE1
ENST00000521977,SHPRH
ENST00000521979,IMPA1
ENST00000521981,PTK2
ENST00000521982,CHCHD7
ENST00000522010,VDAC3
ENST00000522012,R3HCC1
ENST00000522032,ZFAND1
ENST00000522052,CTNNA1
ENST00000522055,SARAF
ENST00000522066,RANBP17
ENST00000522093,MOK
ENST00000522111,TRNP1
ENST00000522114,INTS10
ENST00000522117,SPIDR
ENST00000522121,TOP1MT
ENST00000522126,FCHSD1
ENST00000522136,CLK4
ENST00000522141,DCTN6
ENST00000522157,C5orf45
ENST00000522163,RUNX1T1
ENST00000522166,CHCHD7
ENST00000522181,SLC26A7
ENST00000522185,SLC36A1
ENST00000522194,WDYHV1
ENST00000522205,MTO1
ENST00000522209,PNOC
ENST00000522212,TVP23C-CDRT4
ENST00000522222,SPIDR
ENST00000522224,TBC1D9B
ENST00000522246,CD74
ENST00000522248,SNAP91
ENST00000522251,ST18
ENST00000522254,EFCAB1
ENST00000522263,KIAA1429
ENST00000522266,REPIN1
ENST00000522286,RGPD8
ENST00000522295,HSF4
ENST00000522310,TATDN1
ENST00000522314,ATOX1
ENST00000522317,KCNK9
ENST00000522355,KIF13B
ENST00000522363,INTS9
ENST00000522372,KCNU1
ENST00000522377,NDRG1
ENST00000522378,ESCO2
ENST00000522387,PABPC1
ENST00000522394,RRM2B
ENST00000522396,ADGB
ENST00000522406,ABCA10
ENST00000522417,KCNU1
ENST00000522420,TBC1D31
ENST00000522432,SLA
ENST00000522437,DYX1C1
ENST00000522445,EIF3E
ENST00000522447,LACTB2
ENST00000522452,RP13-582O9.6
ENST00000522468,HMBOX1
ENST00000522470,TMEM68
ENST00000522483,THAP8
ENST00000522484,FZD6
ENST00000522508,OPRK1
ENST00000522518,TRMT12
ENST00000522528,LY6E
ENST00000522533,RANBP17
ENST00000522539,BRF2
ENST00000522556,CLK4
ENST00000522564,GSDMB
ENST00000522567,LRRCC1
ENST00000522568,GDAP1
ENST00000522577,ENDOV
ENST00000522584,LRRC6
ENST00000522588,HTR4
ENST00000522610,POLB
ENST00000522617,CPQ
ENST00000522623,ZMAT4
ENST00000522628,PXDNL
ENST00000522633,IL6ST
ENST00000522637,CYFIP2
ENST00000522644,CNOT8
ENST00000522655,ZHX1
ENST00000522659,FABP4
ENST00000522663,C5orf45
ENST00000522666,G3BP1
ENST00000522669,DPY19L4
ENST00000522671,SDR16C5
ENST00000522683,NDUFAF6
ENST00000522687,BIN3
ENST00000522694,RBPMS
ENST00000522698,EXTL3
ENST00000522713,CIDEA
ENST00000522739,OPRM1
ENST00000522742,CA2
ENST00000522761,G3BP1
ENST00000522766,ENY2
ENST00000522770,LRRCC1
ENST00000522773,CARD8
ENST00000522780,TMEM71
ENST00000522783,FCHSD1
ENST00000522791,RIDA
ENST00000522797,TG
ENST00000522800,EIF3H
ENST00000522804,RMDN1
ENST00000522810,TATDN1
ENST00000522825,FAXDC2
ENST00000522834,RARS
ENST00000522849,ATP6V1H
ENST00000522866,ZNF596
ENST00000522887,EIF3E
ENST00000522894,OTUD6B
ENST00000522909,PPP1R42
ENST00000522912,SREK1
ENST00000522927,TATDN1
ENST00000522934,COX6C
ENST00000522938,RP11-26J3.4
ENST00000522940,COX6C
ENST00000522950,PTK2
ENST00000522964,CCDC69
ENST00000522965,RIPK2
ENST00000522990,GABRG2
ENST00000523008,EFCAB1
ENST00000523023,PPP2CB
ENST00000523048,STMN4
ENST00000523054,CDKL3
ENST00000523067,PTK2
ENST00000523084,C5orf45
ENST00000523098,TAF2
ENST00000523100,DIAPH1
ENST00000523105,IKBKB
ENST00000523139,BRD9
ENST00000523140,KCTD9
ENST00000523146,ZNF706
ENST00000523162,ZNF596
ENST00000523188,ZMAT4
ENST00000523199,SNAP91
ENST00000523203,CSNK1A1
ENST00000523206,INTS8
ENST00000523208,CD74
ENST00000523211,NKAIN3
ENST00000523214,TATDN1
ENST00000523222,MTFR1
ENST00000523234,AGPAT5
ENST00000523243,ZFAT
ENST00000523256,SLC25A32
ENST00000523263,KIAA1429
ENST00000523268,LETM2
ENST00000523275,CTNNA1
ENST00000523280,RGS20
ENST00000523282,DNPEP
ENST00000523287,RGS22
ENST00000523289,C8orf74
ENST00000523295,GSR
ENST00000523303,INTS9
ENST00000523323,ITGB2
ENST00000523329,MGAT4B
ENST00000523332,LYNX1
ENST00000523335,ENY2
ENST00000523337,NDUFAF6
ENST00000523356,WDYHV1
ENST00000523357,ELP3
ENST00000523358,PROSC
ENST00000523370,RMDN1
ENST00000523371,GSDMB
ENST00000523372,GABRG2
ENST00000523373,MTBP
ENST00000523376,CALCB
ENST00000523379,ADAM28
ENST00000523381,ST8SIA4
ENST00000523409,UBXN2B
ENST00000523415,ERICH1
ENST00000523417,TOP1MT
ENST00000523419,ABCA10
ENST00000523420,GOLGA7
ENST00000523421,CHTF8
ENST00000523431,ZFAND1
ENST00000523437,RGS22
ENST00000523444,NBN
ENST00000523449,HNRNPH1
ENST00000523458,DPYSL3
ENST00000523461,C14orf159
ENST00000523478,ATP6V1B2
ENST00000523493,PAX5
ENST00000523499,GTF2E2
ENST00000523504,TNFRSF10B
ENST00000523511,LSM1
ENST00000523512,ABCA10
ENST00000523517,IKBKB
ENST00000523527,DNPEP
ENST00000523532,CHCHD7
ENST00000523542,ZMAT4
ENST00000523559,PINX1
ENST00000523562,HSF4
ENST00000523573,TVP23C
ENST00000523575,THG1L
ENST00000523579,CARD8
ENST00000523585,SNAP91
ENST00000523586,AGPAT5
ENST00000523593,ASAH1
ENST00000523594,RB1CC1
ENST00000523609,AGO2
ENST00000523625,ZFHX4
ENST00000523636,PABPC1
ENST00000523639,CCNC
ENST00000523655,SREK1
ENST00000523666,DCTN6
ENST00000523667,CHCHD7
ENST00000523669,LRRCC1
ENST00000523670,PTK2
ENST00000523687,ELP3
ENST00000523695,CHRNA2
ENST00000523707,ENY2
ENST00000523723,C8orf74
ENST00000523737,C5orf45
ENST00000523753,TPD52
ENST00000523756,TG
ENST00000523763,MTO1
ENST00000523765,LAMA4
ENST00000523813,CD74
ENST00000523814,SPIDR
ENST00000523821,MTERF3
ENST00000523835,C5orf45
ENST00000523837,C14orf159
ENST00000523841,CCDC25
ENST00000523843,FBXW11
ENST00000523845,CAMK2B
ENST00000523848,YWHAZ
ENST00000523857,MROH5
ENST00000523864,STARD8
ENST00000523866,SLC25A32
ENST00000523869,INTS10
ENST00000523890,COPS5
ENST00000523901,TG
ENST00000523914,PDZD9
ENST00000523924,ZFAT
ENST00000523929,HSPA9
ENST00000523933,FZD6
ENST00000523948,TGS1
ENST00000523952,PTPN12
ENST00000523955,FABP6
ENST00000523957,RRM2B
ENST00000523961,CCNC
ENST00000523966,SKP1
ENST00000523968,KIF13B
ENST00000523990,FBXO28
ENST00000523994,PROSC
ENST00000523999,ENDOV
ENST00000524004,SNTG1
ENST00000524027,OTUD6B
ENST00000524033,SPIDR
ENST00000524039,GSDMB
ENST00000524046,MTO1
ENST00000524050,PWWP2A
ENST00000524056,ANKRD6
ENST00000524061,PINX1
ENST00000524063,HTR4
ENST00000524068,C5orf45
ENST00000524084,CCDC25
ENST00000524086,MCM4
ENST00000524122,SFTA3
ENST00000524126,SPIDR
ENST00000524128,UTP23
ENST00000524140,NWD1
ENST00000524142,ATOX1
ENST00000524150,OPRM1
ENST00000524160,DYX1C1
ENST00000524164,ATP6V1H
ENST00000524172,RMDN1
ENST00000524185,DOCK2
ENST00000524202,PTK2
ENST00000524206,DMGDH
ENST00000524207,MOK
ENST00000524208,POLB
ENST00000524211,SLC20A2
ENST00000524215,RUNX1T1
ENST00000524222,TBC1D9B
ENST00000524245,COX6C
ENST00000524255,SFTPC
ENST00000524266,PBK
ENST00000524273,ABCA10
ENST00000524279,FANCD2OS
ENST00000524296,SFI1
ENST00000524299,ASAP1
ENST00000524307,TBC1D31
ENST00000524325,TSNARE1
ENST00000524333,INTS8
ENST00000524343,RRNAD1
ENST00000524347,SGCD
ENST00000524363,FAXDC2
ENST00000524388,P4HA3
ENST00000524392,ARNTL
ENST00000524396,DOCK8
ENST00000524397,EEF1D
ENST00000524400,ARRB1
ENST00000524401,DNHD1
ENST00000524402,SLC38A6
ENST00000524404,ARHGAP27
ENST00000524405,STX17
ENST00000524407,DNAAF3
ENST00000524408,EFEMP2
ENST00000524426,ACAD8
ENST00000524438,SLC25A45
ENST00000524455,UNC93B1
ENST00000524458,BBS1
ENST00000524459,BTN3A2
ENST00000524464,RNH1
ENST00000524478,MMP3
ENST00000524486,PIDD1
ENST00000524525,GPR89A
ENST00000524543,TMEM41B
ENST00000524556,CSTF3
ENST00000524563,NUP98
ENST00000524581,EPB41L2
ENST00000524584,COG4
ENST00000524586,ARFGAP2
ENST00000524588,MYB
ENST00000524622,TESPA1
ENST00000524624,EEF1D
ENST00000524631,RNPC3
ENST00000524637,RBM4B
ENST00000524647,MUS81
ENST00000524656,FXYD6
ENST00000524661,PGAP2
ENST00000524671,ALG9
ENST00000524677,FAM193B
ENST00000524690,TM7SF2
ENST00000524701,GAS2
ENST00000524711,EIF3M
ENST00000524712,NOD2
ENST00000524716,SERGEF
ENST00000524722,QRICH2
ENST00000524727,ARFGAP2
ENST00000524733,CDCA5
ENST00000524736,NAGK
ENST00000524737,CHEK1
ENST00000524746,NFRKB
ENST00000524765,B3GAT1
ENST00000524766,INTS4
ENST00000524776,DPH2
ENST00000524781,GEMIN2
ENST00000524782,ARFGAP2
ENST00000524784,PACS1
ENST00000524789,OSCP1
ENST00000524790,CYB5R2
ENST00000524794,NFRKB
ENST00000524795,DIS3L
ENST00000524810,NDUFS8
ENST00000524819,POLR2G
ENST00000524820,SYT9
ENST00000524841,FXYD6
ENST00000524848,MAP3K11
ENST00000524849,RCE1
ENST00000524857,ZNF195
ENST00000524875,SLC36A4
ENST00000524881,GLYATL1
ENST00000524887,SNTB2
ENST00000524893,FAM86B1
ENST00000524896,EIF3M
ENST00000524914,FAM71D
ENST00000524923,TESPA1
ENST00000524926,BEST1
ENST00000524930,SAMD3
ENST00000524949,NADSYN1
ENST00000524950,MSANTD2
ENST00000524972,TMX2
ENST00000524981,CFAP54
ENST00000524984,DGKZ
ENST00000524989,C11orf57
ENST00000524991,SLC35F2
ENST00000524995,SLC43A1
ENST00000525002,MYB
ENST00000525015,CYP2R1
ENST00000525028,PIDD1
ENST00000525035,TMX2
ENST00000525044,DIO1
ENST00000525048,NPEPPS
ENST00000525058,GIF
ENST00000525059,PTDSS2
ENST00000525063,ADM
ENST00000525064,CLNS1A
ENST00000525066,RAD51
ENST00000525079,TRAPPC4
ENST00000525083,FOXRED1
ENST00000525093,MOGAT2
ENST00000525108,BTBD10
ENST00000525118,TMEM25
ENST00000525130,FUZ
ENST00000525143,NOX5
ENST00000525145,TP53I11
ENST00000525148,NPAS4
ENST00000525153,GEMIN2
ENST00000525155,CHKA
ENST00000525160,MUTYH
ENST00000525175,BCO2
ENST00000525183,UVRAG
ENST00000525185,ZNF707
ENST00000525187,GRIA4
ENST00000525188,PRMT3
ENST00000525192,PEX16
ENST00000525194,ACER3
ENST00000525200,NADSYN1
ENST00000525205,SLC43A3
ENST00000525227,CFAP57
ENST00000525229,PEX16
ENST00000525231,VAV3
ENST00000525235,ARFIP2
ENST00000525243,RNF121
ENST00000525254,KCNK7
ENST00000525263,KLK12
ENST00000525271,EPB41L2
ENST00000525273,DCST1
ENST00000525279,C11orf49
ENST00000525283,FDFT1
ENST00000525284,LRRK1
ENST00000525285,CPSF3L
ENST00000525295,SLC22A25
ENST00000525313,ZNF195
ENST00000525314,ARFGAP2
ENST00000525317,CHORDC1
ENST00000525342,STX17
ENST00000525345,NARS2
ENST00000525353,TMEM126A
ENST00000525357,OSBP
ENST00000525358,EDRF1
ENST00000525370,FUZ
ENST00000525374,CARD16
ENST00000525396,CHEK1
ENST00000525397,MS4A14
ENST00000525398,ARFGAP2
ENST00000525402,CDK2AP2
ENST00000525405,TAF6L
ENST00000525410,DHDDS
ENST00000525420,DCUN1D5
ENST00000525421,PPP6R3
ENST00000525422,SERGEF
ENST00000525428,CLNS1A
ENST00000525440,NME7
ENST00000525455,POLR2G
ENST00000525477,MYB
ENST00000525503,CCDC90B
ENST00000525508,CHD7
ENST00000525511,DNAJC24
ENST00000525514,MYB
ENST00000525525,RPS6KA1
ENST00000525552,SPATA5L1
ENST00000525557,SLC24A4
ENST00000525572,AKR1E2
ENST00000525574,TATDN3
ENST00000525576,NXF1
ENST00000525583,NAPRT
ENST00000525589,OLFML2B
ENST00000525593,NADSYN1
ENST00000525607,FDFT1
ENST00000525608,GLYATL1
ENST00000525628,NDUFS8
ENST00000525639,CREBZF
ENST00000525640,STX17
ENST00000525653,HHLA3
ENST00000525658,RELA
ENST00000525660,AASDHPPT
ENST00000525665,PSMD13
ENST00000525674,VNN2
ENST00000525686,MS4A3
ENST00000525687,CNKSR1
ENST00000525690,RPS3
ENST00000525701,RNH1
ENST00000525723,SLC38A6
ENST00000525733,CTSF
ENST00000525749,EPHA10
ENST00000525754,RBM4B
ENST00000525763,CD59
ENST00000525770,FOXRED1
ENST00000525782,EIF3M
ENST00000525790,TDRKH
ENST00000525800,FUZ
ENST00000525803,PTS
ENST00000525807,CTSH
ENST00000525808,ACADM
ENST00000525826,FOLH1
ENST00000525844,BDP1
ENST00000525861,ACER3
ENST00000525862,ZNF707
ENST00000525866,LAYN
ENST00000525884,SPAG11A
ENST00000525895,C11orf49
ENST00000525910,ALG9
ENST00000525920,SERGEF
ENST00000525940,MYB
ENST00000525942,GRIA4
ENST00000525948,PUM1
ENST00000525964,NCAPD3
ENST00000525968,P4HA3
ENST00000525978,TESPA1
ENST00000525982,CPNE7
ENST00000525987,AP002884.2
ENST00000525991,CYP2C8
ENST00000525996,RPS6KB2
ENST00000526003,DNAAF3
ENST00000526009,CLNS1A
ENST00000526014,FXYD6
ENST00000526015,TAF1D
ENST00000526026,ACAD8
ENST00000526035,BBS1
ENST00000526040,RPS6KA1
ENST00000526042,DNAJC24
ENST00000526054,VPS28
ENST00000526062,ST5
ENST00000526100,HBS1L
ENST00000526114,ILK
ENST00000526118,CAPN11
ENST00000526129,ACADM
ENST00000526153,MS4A4E
ENST00000526164,AAMDC
ENST00000526168,ABCC8
ENST00000526185,ARFGAP2
ENST00000526187,MYB
ENST00000526193,RBBP4
ENST00000526196,ACADM
ENST00000526198,EPS8L2
ENST00000526204,VPS28
ENST00000526210,GANAB
ENST00000526215,PUM1
ENST00000526237,DDHD2
ENST00000526247,NPEPPS
ENST00000526248,RPS3
ENST00000526259,SLC25A45
ENST00000526260,C11orf80
ENST00000526262,PPFIA1
ENST00000526265,CCDC90B
ENST00000526278,DHDDS
ENST00000526283,RELA
ENST00000526299,ECHDC1
ENST00000526300,PGR
ENST00000526313,USH1C
ENST00000526319,MRPL49
ENST00000526320,MYB
ENST00000526325,PDDC1
ENST00000526330,APLP2
ENST00000526336,C14orf105
ENST00000526339,NDUFS8
ENST00000526346,NUP214
ENST00000526358,SWAP70
ENST00000526369,PPFIA1
ENST00000526393,FAM86C1
ENST00000526398,POLG
ENST00000526413,TDRKH
ENST00000526414,MRVI1
ENST00000526417,NOD2
ENST00000526424,C11orf49
ENST00000526435,FUZ
ENST00000526437,MPPED2
ENST00000526445,PDE4DIP
ENST00000526446,NDUFS8
ENST00000526457,LRRK1
ENST00000526463,CCDC84
ENST00000526476,HIF1AN
ENST00000526481,CTSB
ENST00000526491,ADAM15
ENST00000526501,ZNF195
ENST00000526504,ME3
ENST00000526506,HIF3A
ENST00000526513,MKNK1
ENST00000526516,NAALADL1
ENST00000526521,DERA
ENST00000526529,DNAJC24
ENST00000526539,SLC38A6
ENST00000526544,IL10RA
ENST00000526549,RNF121
ENST00000526565,MYB
ENST00000526568,CASP1
ENST00000526575,FUZ
ENST00000526583,PRMT3
ENST00000526584,B4GALNT4
ENST00000526592,SDHD
ENST00000526593,PPP6R3
ENST00000526595,JAML
ENST00000526599,CHRNA10
ENST00000526631,CCDC90B
ENST00000526638,SERPINH1
ENST00000526680,LONRF1
ENST00000526705,ZNF585B
ENST00000526707,DENND5A
ENST00000526708,FAM86B1
ENST00000526711,ILK
ENST00000526717,RRAS2
ENST00000526737,ALG8
ENST00000526745,C14orf105
ENST00000526750,SLCO5A1
ENST00000526754,RBM25
ENST00000526755,FNTA
ENST00000526760,BBS1
ENST00000526761,CLNS1A
ENST00000526767,HTN3
ENST00000526779,SLC52A2
ENST00000526797,CPSF3L
ENST00000526820,GNPTG
ENST00000526822,TMEM126B
ENST00000526823,CARD18
ENST00000526824,KLK12
ENST00000526825,LTBP3
ENST00000526833,ADCK5
ENST00000526847,ATP8B3
ENST00000526854,SIRT3
ENST00000526858,TTYH2
ENST00000526866,CDC27
ENST00000526882,HOOK3
ENST00000526889,MYB
ENST00000526890,CARS
ENST00000526898,SLC25A45
ENST00000526909,EPS8L2
ENST00000526913,CASC5
ENST00000526917,OSBPL9
ENST00000526924,DBF4B
ENST00000526954,CAPN1
ENST00000526962,RIC3
ENST00000526982,RIC8A
ENST00000526986,ZDHHC24
ENST00000526994,RAB3IP
ENST00000527004,FOXRED1
ENST00000527025,CCDC90B
ENST00000527052,NOD2
ENST00000527056,MS4A4A
ENST00000527057,SLC22A25
ENST00000527070,NOD2
ENST00000527082,ACAD8
ENST00000527097,ARFGAP2
ENST00000527098,CPSF3L
ENST00000527102,BTBD10
ENST00000527111,FUZ
ENST00000527118,RBBP4
ENST00000527121,ILK
ENST00000527133,CLNS1A
ENST00000527140,MSANTD2
ENST00000527142,SYVN1
ENST00000527145,ACCSL
ENST00000527146,IFITM2
ENST00000527169,TAF1D
ENST00000527170,DEAF1
ENST00000527216,MOCS2
ENST00000527234,C11orf49
ENST00000527251,BBS1
ENST00000527254,MS4A6A
ENST00000527262,PARP10
ENST00000527263,AK5
ENST00000527277,EFEMP2
ENST00000527293,ZNF707
ENST00000527298,NPEPPS
ENST00000527300,FAM86B1
ENST00000527301,RNF169
ENST00000527319,DPH2
ENST00000527330,CARS
ENST00000527337,RCN1
ENST00000527355,NDUFV1
ENST00000527359,NASP
ENST00000527362,TTC12
ENST00000527375,BRMS1
ENST00000527383,CPSF3L
ENST00000527385,ARRB1
ENST00000527388,EDA
ENST00000527390,USP33
ENST00000527399,RSRC2
ENST00000527405,SLC5A12
ENST00000527411,EPB41L2
ENST00000527415,DDHD2
ENST00000527420,CYP2C8
ENST00000527422,BTN3A2
ENST00000527430,CDCA5
ENST00000527433,HSD17B12
ENST00000527446,RPS3
ENST00000527457,PAK1
ENST00000527479,PTDSS2
ENST00000527481,TYK2
ENST00000527493,NAALAD2
ENST00000527494,SERGEF
ENST00000527498,PUM1
ENST00000527501,KIAA1324
ENST00000527504,TP53AIP1
ENST00000527513,BSDC1
ENST00000527529,CREBZF
ENST00000527531,C11orf65
ENST00000527535,PAK1
ENST00000527558,TREH
ENST00000527576,DCUN1D5
ENST00000527585,FUZ
ENST00000527586,VPS26B
ENST00000527591,SLC38A6
ENST00000527595,RP11-411B6.6
ENST00000527604,RP1-317E23.6
ENST00000527613,BCLAF1
ENST00000527615,MYB
ENST00000527616,HSPB2-C11orf52
ENST00000527661,TCP11L1
ENST00000527667,C11orf49
ENST00000527673,RPS25
ENST00000527681,AHI1
ENST00000527688,TXNRD1
ENST00000527703,AC138969.4
ENST00000527708,GLYATL1
ENST00000527709,EBAG9
ENST00000527717,FXYD6
ENST00000527731,DNAJC24
ENST00000527734,SLC25A22
ENST00000527747,RHCE
ENST00000527777,CD3G
ENST00000527779,DCUN1D5
ENST00000527784,C11orf49
ENST00000527791,RPS25
ENST00000527797,VPS28
ENST00000527807,EPS8L2
ENST00000527820,GDPD5
ENST00000527825,CHD7
ENST00000527841,MS4A14
ENST00000527845,CKLF-CMTM1
ENST00000527849,FMO5
ENST00000527850,POLA2
ENST00000527852,NADSYN1
ENST00000527864,WLS
ENST00000527876,GNPTG
